"139,162,84"	"117,145,61"
"138,161,81"	"115,140,57"
"126,150,74"	"168,194,95"
"126,150,74"	"177,203,104"
"122,146,70"	"181,207,110"
"165,174,69"	"160,185,94"
"163,172,67"	"157,182,91"
"166,175,70"	"156,181,90"
"148,175,96"	"132,156,72"
"155,182,103"	"132,156,72"
"156,183,104"	"134,159,75"
"140,155,72"	"162,174,72"
"138,153,70"	"172,187,84"
"133,148,65"	"178,193,92"
"114,127,39"	"178,190,118"
"114,127,39"	"178,190,118"
"114,127,39"	"178,190,118"
"128,121,53"	"243,255,166"
"125,118,50"	"242,255,167"
"123,116,48"	"241,254,166"
"129,142,72"	"182,206,132"
"123,136,66"	"180,204,130"
"126,139,69"	"172,196,122"
"165,171,99"	"206,219,173"
"164,170,98"	"208,221,175"
"164,170,98"	"208,221,175"
"169,183,104"	"156,177,112"
"167,181,102"	"155,176,111"
"163,177,98"	"158,179,114"
"235,213,172"	"208,228,179"
"243,221,182"	"225,245,196"
"238,216,177"	"220,240,191"
"201,160,106"	"77,101,65"
"191,150,96"	"98,122,86"
"181,140,86"	"109,133,97"
"162,175,105"	"164,179,114"
"163,176,106"	"157,172,107"
"160,173,103"	"149,164,99"
"158,173,92"	"217,222,181"
"163,176,96"	"219,224,183"
"161,174,94"	"212,217,176"
"163,158,66"	"141,158,114"
"168,163,71"	"138,155,111"
"169,164,73"	"142,159,115"
"121,139,57"	"142,160,110"
"123,141,59"	"137,155,107"
"124,142,60"	"126,144,94"
"164,179,76"	"128,144,107"
"163,178,75"	"124,140,103"
"162,177,72"	"121,139,101"
"165,177,115"	"170,195,153"
"168,180,118"	"175,200,158"
"182,190,131"	"153,178,136"
"165,177,115"	"165,187,123"
"168,180,118"	"165,187,123"
"182,190,131"	"163,185,121"
"165,177,115"	"127,143,94"
"168,180,118"	"200,216,167"
"182,190,131"	"220,236,187"
"202,170,131"	"134,152,102"
"194,162,123"	"121,139,91"
"185,153,114"	"118,136,88"
"139,127,79"	"150,169,123"
"135,122,77"	"142,161,115"
"163,150,105"	"137,156,110"
"144,151,83"	"147,163,116"
"141,148,80"	"122,138,91"
"138,145,77"	"138,154,107"
"147,152,86"	"93,110,58"
